"Title","Network","Season","Meta Score","# of critics","User score","Genre","Genre 2","Permise Date","# of rating"
"Eureka","Syfy",": Season 4",,80,7.9,"Comedy","Drama","July 9, 2010",35
"Haven","Syfy",": Season 1",53,80,7.6,"Drama","Action & Adventure","July 9, 2010",127
"The Glades","A&E",": Season 1",,80,7.2,"Drama","Suspense","July 11, 2010",125
"Rizzoli & Isles","TNT",": Season 1",,80,7,"Drama","Suspense","July 12, 2010",107
"Covert Affairs","USA",": Season 1",,80,7,"Drama","Action & Adventure","July 13, 2010",136
"Pillars of the Earth","Starz",": Season 1",,88,7,"Drama","Action & Adventure","July 23, 2010",53
"Mad Men","AMC",": Season 4",,90,9,"Drama",,"July 25, 2010",446
"MasterChef","FOX",": Season 1",,80,7.3,"Drama","Reality","July 27, 2010",60
"The Real Housewives of Washington D.C.","Bravo",": Season 1",59,75,,"Drama","Reality","August 5, 2010",22
"Weeds","SHOWTIME",": Season 6",56,,6.8,"Comedy","Drama","August 16, 2010",81
"Sons of Anarchy","FX",": Season 3",,90,7.9,"Drama","Action & Adventure","September 7, 2010",269
"Hellcats","The CW",": Season 1",51,80,7,"Sports","Drama","September 8, 2010",56
"Nikita","The CW",": Season 1",,83,7.5,"Drama","Action & Adventure","September 9, 2010",189
"The Vampire Diaries","The CW,CW",": Season 2",,83,8.4,"Drama","Fantasy",,218
"Gossip Girl","The CW",": Season 4",,83,7.4,"Drama",,"September 13, 2010",47
"Lost Girl","Syfy,SHOWCASE",": Season 1",,80,7.9,"Drama","Fantasy",,86
"Boardwalk Empire","HBO",": Season 1",,90,8.6,"Drama",,"September 19, 2010",692
"Outlaw","NBC",": Season 1",,80,,"Drama","Suspense","September 15, 2010",41
"The Event ","NBC",": Season 1",,91,6.3,"Drama","Action & Adventure","September 20, 2010",177
"Chase","NBC",": Season 1",47,,6.7,"Drama","Action & Adventure","September 20, 2010",51
"Lone Star","FOX",": Season 1",,90,7.5,"Drama","Suspense","September 20, 2010",56
"Hawaii Five-0","CBS",": Season 1",,83,7.3,"Drama","Action & Adventure","September 20, 2010",177
"Detroit 1-8-7","ABC",": Season 1",,88,8.1,"Drama","Action & Adventure","September 21, 2010",58
"The Defenders","CBS",": Season 1",,83,7.6,"Drama",,"September 22, 2010",47
"The Whole Truth","ABC",": Season 1",56,80,7.6,"Drama",,"September 22, 2010",28
"Undercovers","NBC",": Season 1",,80,,"Drama","Action & Adventure","September 22, 2010",52
"Grey's Anatomy","ABC",": Season 7",,88,7.7,"Drama",,"September 23, 2010",75
"Bones","FOX",": Season 6",,91,7.6,"Comedy","Drama","September 23, 2010",54
"Fringe","FOX",": Season 3",,88,8.9,"Drama","Action & Adventure","September 23, 2010",253
"My Generation","ABC",": Season 1",43,80,,"Drama",,"September 23, 2010",33
"Downton Abbey","PBS,ITV1,ITV",": Season 1",,90,8.6,"Drama",,,366
"Blue Bloods","CBS",": Season 1",,80,7.5,"Drama",,"September 24, 2010",136
"Eastbound & Down","HBO",": Season 2",,91,7.9,"Comedy","Drama","September 26, 2010",71
"The Good Wife","CBS",": Season 2",,90,8.6,"Drama",,"September 28, 2010",162
"Dexter","SHOWTIME",": Season 5",,90,7.2,"Drama","Suspense","September 26, 2010",624
"Law & Order: Los Angeles","NBC",": Season 1",,83,7.1,"Drama","Action & Adventure","September 29, 2010",38
"No Ordinary Family","ABC",": Season 1",,83,6.7,"Drama","Action & Adventure","September 28, 2010",99
"Whitechapel","ITV1,BBC America,ITV",": Season 2",,88,7.1,"Drama",,,14
"Whitechapel","ITV1,BBC America,ITV",": Season 1",,91,7.7,"Drama",,,27
"Make It or Break It","ABC Family",": Season 1",,80,8,"Sports","Drama","June 22, 2009",26
"NYC Prep","Bravo",": Season 1",42,,,"Drama","Reality","June 23, 2009",38
"Eleventh Hour","CBS",": Season 1",54,80,6.7,"Drama","Horror","October 9, 2008",44
"CSI","CBS",": Season 9",,83,6.8,"Drama","Suspense","October 9, 2008",32
"Life On Mars","ABC",": Season 1",,80,8.4,"Drama","Suspense","October 9, 2008",127
"My Own Worst Enemy","NBC",": Season 1",,75,8.7,"Drama","Action & Adventure","October 13, 2008",80
"Eli Stone","ABC",": Season 2",,91,7.7,"Drama","Suspense","October 14, 2008",21
"Crusoe","NBC",": Season 1",53,80,7.3,"Drama","Action & Adventure","October 17, 2008",46
"Crash","Starz",": Season 1",43,75,,"Drama",,"October 17, 2008",38
"Little Dorrit","BBC-1,BBC",": Season 1",,91,8.4,"Drama",,,24
"Dead Set","IFC,E4",": Season 1",,90,7.8,"Drama","Horror",,40
"30 Rock","NBC",": Season 3",,88,8.6,"Comedy","Drama","October 30, 2008",125
"Legend of the Seeker","Syndicated,ABC,Other",": Season 1",53,70,7.3,"Drama","Fantasy",,170
"Whale Wars","Animal Planet",": Season 1",,80,,"Drama","Reality","November 7, 2008",67
"Survivors","BBC-1,BBC,BBC One",": Season 1",,80,8.1,"Drama","Science Fiction",,29
"The Librarian: The Curse of the Judas Chalice","TNT",": Season 1",,80,6.8,"Drama","Movie/Mini-Series","December 7, 2008",18
"Wallander","BBC-1,PBS,BBC",": Season 1",,80,7.4,"Drama","Suspense",,40
"Leverage","TNT",": Season 1",,83,8.8,"Drama","Suspense","December 7, 2008",119
"Damages","FX,The 101,DirecTV",": Season 2",,90,8.7,"Drama","Suspense",,86
"Homeland Security USA","ABC",": Season 1",47,,,"Drama","Reality","January 6, 2009",15
24,"FOX",": Season 7",,80,8.4,"Drama","Action & Adventure","January 11, 2009",166
"Secret Diary of a Call Girl","SHOWTIME",": Season 2",60,83,6.1,"Drama",,"January 18, 2009",15
"Big Love","HBO",": Season 3",,88,6.6,"Drama",,"January 18, 2009",35
"Lie to Me","FOX",": Season 1",,90,8.8,"Drama",,"January 21, 2009",204
"Lost","ABC",": Season 5",,80,8.6,"Drama","Action & Adventure","January 21, 2009",435
"Being Human (UK)","BBC,BBC-3,BBC America,BBC Three",": Season 1",,80,7.6,"Comedy","Drama",,83
"The Last Templar","NBC",": Season 1",,,,"Drama","Action & Adventure","January 25, 2009",24
"Trust Me","TNT",": Season 1",,83,7.5,"Drama","Health & Lifestyle","January 26, 2009",34
"The Philanthropist","NBC",": Season 1",60,88,7.9,"Drama","Action & Adventure","June 24, 2009",72
"Torchwood (UK)","BBC-1,BBC-2,BBC-3,Starz,BBC America,BBC Two",": Season 3",,91,7.9,"Drama","Action & Adventure",,84
"Meteor","NBC",": Season 1",,,,"Drama","Action & Adventure","July 13, 2009",47
"Drop Dead Diva","LIFETIME",": Season 1",,80,8.5,"Comedy","Drama","July 12, 2009",105
"The Storm","NBC",": Season 1",,,,"Drama","Action & Adventure","July 26, 2009",9
"Defying Gravity","ABC",": Season 1",54,75,7.3,"Drama","Science Fiction","August 2, 2009",106
"There Goes the Neighborhood","CBS",": Season 1",,,,"Drama","Reality","August 9, 2009",14
"Mad Men","AMC",": Season 3",,90,8.9,"Drama",,"August 16, 2009",320
"Sons of Anarchy","FX",": Season 2",,88,8.4,"Drama","Action & Adventure","September 8, 2009",281
"Melrose Place","The CW",": Season 1",55,80,,"Drama",,"September 8, 2009",52
"The Vampire Diaries","The CW,CW",": Season 1",50,80,7.6,"Drama","Fantasy",,570
"Fringe","FOX",": Season 2",,91,8.6,"Drama","Action & Adventure","September 17, 2009",242
"The Beautiful Life","The CW",": Season 1",40,70,,"Drama",,"September 16, 2009",37
"Bored to Death","HBO",": Season 1",,83,7.9,"Comedy","Drama","September 20, 2009",111
"House","FOX",": Season 6",,91,7.6,"Drama","Suspense","September 21, 2009",164
"The Good Wife","CBS",": Season 1",,88,8.8,"Drama",,"September 22, 2009",276
"NCIS: Los Angeles","CBS",": Season 1",58,80,,"Comedy","Drama","September 22, 2009",129
"Mercy","NBC",": Season 1",41,80,6.4,"Comedy","Drama","September 23, 2009",76
"Eastwick","ABC",": Season 1",49,80,8.5,"Comedy","Drama","September 23, 2009",102
"FlashForward","ABC",": Season 1",,88,7.4,"Drama","Action & Adventure","September 24, 2009",161
"Dexter","SHOWTIME",": Season 4",,91,9,"Drama","Suspense","September 27, 2009",709
"Stargate Universe","Syfy",": Season 1",,80,,"Drama","Action & Adventure","October 2, 2009",506
"Three Rivers","CBS",": Season 1",48,70,7.7,"Drama",,"October 4, 2009",50
"30 Rock","NBC",": Season 4",,88,7.7,"Comedy","Drama","October 15, 2009",138
"Nip/Tuck","FX",": Season 6",,83,7.8,"Drama",,"October 14, 2009",29
"White Collar","USA",": Season 1",,90,8.9,"Drama","Action & Adventure","October 23, 2009",222
"Friday Night Lights","NBC,The 101,DirecTV",": Season 4",,83,8.6,"Sports","Drama",,106
"V","ABC",": Season 1",,88,6.5,"Drama","Action & Adventure","November 3, 2009",190
"Medium","CBS,NBC",": Season 5",,83,8.5,"Drama","Fantasy",,20
"XIII","NBC",": Season 1",44,,7.2,"Drama","Action & Adventure","February 8, 2009",19
"Eastbound & Down","HBO",": Season 1",,91,9,"Comedy","Drama","February 15, 2009",219
"Dollhouse","FOX",": Season 1",57,80,8,"Drama","Action & Adventure","February 13, 2009",442
"Law & Order: UK","ITV1,BBC America,ITV,13R",": Season 1",,90,7.2,"Drama","Suspense",,23
"The Listener","NBC,CTV",": Season 1",42,70,7.4,"Drama",,,41
"Ashes to Ashes","BBC-1,BBC,BBC America,BBC One",": Season 1",,91,7.9,"Drama","Science Fiction",,22
"Castle","ABC",": Season 1",54,70,8.4,"Comedy","Drama","March 9, 2009",422
"Kings","NBC",": Season 1",58,83,8.6,"Drama","Fantasy","March 15, 2009",193
"The No. 1 Ladies' Detective Agency","HBO,BBC",": Season 1",,83,8.8,"Drama","Action & Adventure",,79
"The Tudors","SHOWTIME",": Season 3",,83,,"Drama","Suspense","March 22, 2009",47
"In Treatment","HBO",": Season 2",,90,8.4,"Drama",,"April 5, 2009",57
"Rescue Me","FX",": Season 5",,80,8.3,"Drama","Action & Adventure","April 7, 2009",41
"Southland","NBC,TNT",": Season 1",,80,8.5,"Drama","Action & Adventure",,147
"The Unusuals","ABC",": Season 1",,88,7.6,"Drama","Action & Adventure","April 8, 2009",103
"Grey Gardens","HBO",": Season 1",,90,8.6,"Drama",,"April 18, 2009",43
"Harper's Island","CBS",": Season 1",,80,7.3,"Drama","Suspense","April 9, 2009",77
"The Fashion Show","Vertex,Bravo",": Season 1",,80,,"Drama","Reality",,27
"The Real Housewives of New Jersey","Bravo",": Season 1",,83,,"Drama","Reality","May 12, 2009",25
"Mental","FOX",": Season 1",,63,,"Drama","Health & Lifestyle","May 26, 2009",57
"Royal Pains","USA",": Season 1",,75,7.3,"Comedy","Drama","June 4, 2009",72
"Nurse Jackie","SHOWTIME",": Season 1",,88,7.5,"Drama",,"June 8, 2009",87
"Weeds","SHOWTIME",": Season 5",,80,7.3,"Comedy","Drama","June 8, 2009",91
"True Blood","HBO",": Season 2",,83,8.2,"Drama","Fantasy","June 14, 2009",270
"The Take","Encore,Sky1",": Season 1",,88,7.1,"Drama","Movie/Mini-Series",,16
"Hawthorne","TNT",": Season 1",48,70,,"Drama",,"June 16, 2009",55
"Gossip Girl","The CW",": Season 2",,80,8,"Drama",,"September 1, 2008",81
"quarterlife","NBC,Bravo,Quarterlife,NBC/Bravo",": Season 1",53,80,,"Drama",,,27
"Tell Me You Love Me","HBO",": Season 1",58,83,,"Drama",,"September 9, 2007",67
"Oprah's Big Give","ABC",": Season 1",48,80,,"Drama","Reality","March 2, 2008",42
"Gossip Girl","The CW",": Season 1",53,88,7.9,"Drama",,"September 19, 2007",230
"Nashville","FOX",": Season 1",,80,7.7,"Drama","Reality","September 14, 2007",28
"Journeyman","NBC",": Season 1",52,80,7.5,"Drama","Science Fiction","September 24, 2007",226
"Cane","CBS",": Season 1",57,88,8.6,"Drama","Action & Adventure","September 25, 2007",148
"Private Practice","ABC",": Season 1",45,75,7.2,"Drama",,"September 26, 2007",106
"Bionic Woman","NBC",": Season 1",57,80,,"Drama","Action & Adventure","September 26, 2007",121
"Life (2007)","NBC",": Season 1",,83,7.9,"Drama",,"September 26, 2007",272
"Dirty Sexy Money","ABC",": Season 1",,83,7.7,"Drama",,"September 26, 2007",103
"Big Shots","ABC",": Season 1",,80,8.2,"Drama",,"September 27, 2007",112
"Moonlight","CBS,The CW",": Season 1",,67,9,"Drama","Action & Adventure",,580
"Dexter","SHOWTIME",": Season 2",,80,9,"Drama","Suspense","September 30, 2007",757
"Pushing Daisies","ABC",": Season 1",,91,8.3,"Drama","Fantasy","October 3, 2007",285
"Friday Night Lights","NBC,The 101,DirecTV",": Season 2",,90,8.3,"Sports","Drama",,61
"Life is Wild","The CW,CW",": Season 1",44,75,8.4,"Drama",,,38
"Women's Murder Club","ABC",": Season 1",51,80,7.8,"Drama","Suspense","October 12, 2007",44
"Tin Man","Syfy,SCIFI",": Season 1",53,83,6.2,"Drama","Fantasy",,121
"Nip/Tuck","FX",": Season 5",,88,7.9,"Drama",,"October 30, 2007",50
"Oliver Twist ","BBC-1,BBC",": Season 1",,88,,"Drama",,,14
"Cashmere Mafia","ABC",": Season 1",48,80,7.9,"Drama","Health & Lifestyle","January 6, 2008",63
"The Wire","HBO",": Season 5",,90,9.1,"Drama","Suspense","January 6, 2008",419
"Mistresses (UK)","BBC-1,BBC,BBC America",": Season 1",,91,8.5,"Drama","Health & Lifestyle",,20
"Terminator: The Sarah Connor Chronicles","FOX",": Season 1",,88,7.3,"Drama","Action & Adventure","January 13, 2008",202
"Torchwood (UK)","BBC-1,BBC-2,BBC-3,Starz,BBC America,BBC Two",": Season 2",,91,7.9,"Drama","Action & Adventure",,67
"In Treatment","HBO",": Season 1",,88,9.2,"Drama",,"January 28, 2008",211
"Eli Stone","ABC",": Season 1",,80,8.3,"Drama","Suspense","January 31, 2008",104
"Lipstick Jungle","NBC",": Season 1",40,83,,"Comedy","Drama","February 7, 2008",65
"Lost","ABC",": Season 4",,80,8.7,"Drama","Action & Adventure","January 31, 2008",490
"Jericho","CBS",": Season 2",,88,8.7,"Drama","Action & Adventure","February 12, 2008",81
"Canterbury's Law","FOX",": Season 1",,83,6.3,"Drama","Suspense","March 10, 2008",41
"New Amsterdam","FOX",": Season 1",,80,8.5,"Drama","Action & Adventure","March 4, 2008",80
"John Adams","HBO",": Season 1",,91,8.5,"Drama",,"March 16, 2008",149
"The Riches","FX",": Season 2",,83,7.4,"Drama",,"March 18, 2008",22
"The Tudors","SHOWTIME",": Season 2",,80,6.8,"Drama","Suspense","March 30, 2008",97
"Battlestar Galactica (2003)","Syfy",": Season 4",,91,8.8,"Drama","Action & Adventure","April 4, 2008",255
"Carrier","PBS",": Season 1",,90,8.2,"Drama","Reality","April 27, 2008",30
"Recount","HBO",": Season 1",,80,6.8,"Drama",,"May 25, 2008",59
"The Andromeda Strain","A&E",": Season 1",41,80,,"Drama","Action & Adventure","May 26, 2008",57
"Filth: The Mary Whitehouse Story","BBC-2,BBC Two",": Season 1",,83,,"Drama","Movie/Mini-Series",,13
"In Plain Sight","USA",": Season 1",56,80,6.5,"Drama","Action & Adventure","June 1, 2008",65
"Fear Itself","NBC",": Season 1",51,70,,"Drama","Action & Adventure","June 5, 2008",48
"Swingtown","CBS",": Season 1",49,80,8.3,"Drama",,"June 5, 2008",138
"Secret Diary of a Call Girl","SHOWTIME",": Season 1",53,91,,"Drama",,"June 16, 2008",45
"Weeds","SHOWTIME",": Season 4",,80,7.3,"Comedy","Drama","June 16, 2008",97
"The Secret Life of the American Teenager","ABC Family",": Season 1",48,80,,"Comedy","Drama","July 1, 2008",146
"Burn Notice","USA",": Season 2",,90,8.4,"Drama","Action & Adventure","July 10, 2008",79
"Flashpoint","CTV,Ion Television",": Season 1",50,63,8.1,"Drama","Action & Adventure",,78
"Generation Kill","HBO",": Season 1",,90,8.6,"Drama","Action & Adventure","July 13, 2008",148
"The Closer","TNT",": Season 4",,80,8.3,"Drama","Suspense","July 14, 2008",31
"Saving Grace","TNT",": Season 2",,80,,"Drama","Fantasy","July 14, 2008",20
"Mad Men","AMC",": Season 2",,91,8.9,"Drama",,"July 27, 2008",337
"Date My Ex: Jo & Slade","Bravo",": Season 1",,,,"Drama","Reality","July 21, 2008",37
"Prison Break","FOX",": Season 4",,83,,"Drama","Action & Adventure","September 1, 2008",232
"Raising the Bar","TNT",": Season 1",48,75,,"Drama",,"September 1, 2008",51
90210,"The CW",": Season 1",47,63,6.7,"Drama",,"September 2, 2008",88
"Sons of Anarchy","FX",": Season 1",,83,8.5,"Drama","Action & Adventure","September 3, 2008",597
"The Shield","FX",": Season 7",,80,9.5,"Drama","Action & Adventure","September 2, 2008",159
"Bones","FOX",": Season 4",53,70,8.2,"Comedy","Drama","September 3, 2008",57
"Samurai Girl","ABC Family",": Season 1",,83,8.3,"Drama","Action & Adventure","September 5, 2008",27
"True Blood","HBO",": Season 1",,90,8.1,"Drama","Fantasy","September 7, 2008",732
"Terminator: The Sarah Connor Chronicles","FOX",": Season 2",,70,6.8,"Drama","Action & Adventure","September 8, 2008",109
"Entourage","HBO",": Season 5",,80,8.7,"Comedy","Drama","September 7, 2008",87
"Fringe","FOX",": Season 1",,88,8.3,"Drama","Action & Adventure","September 9, 2008",549
"Privileged","The CW",": Season 1",58,80,8.2,"Drama",,"September 9, 2008",33
"House","FOX",": Season 5",,91,8.6,"Drama","Suspense","September 16, 2008",141
"Coco Chanel","LIFETIME",": Season 1",54,88,7.8,"Drama","Movie/Mini-Series","September 13, 2008",20
"Merlin","BBC-1,Syfy,BBC",": Season 1",56,83,8.2,"Drama","Action & Adventure",,148
"Heroes","NBC",": Season 3",56,75,,"Drama","Suspense","September 22, 2008",218
"The Mentalist","CBS",": Season 1",,80,8.5,"Drama","Suspense","September 23, 2008",281
"Knight Rider","NBC",": Season 1",,,,"Drama","Action & Adventure","September 24, 2008",69
"Grey's Anatomy","ABC",": Season 5",,91,7.2,"Drama",,"September 25, 2008",102
"Dexter","SHOWTIME",": Season 3",,90,8.1,"Drama","Suspense","September 28, 2008",654
"Californication","SHOWTIME",": Season 2",,80,8.3,"Comedy","Drama","September 28, 2008",127
"Life (2007)","NBC",": Season 2",,80,7,"Drama",,"September 29, 2008",108
"Desperate Housewives","ABC",": Season 5",,80,8.3,"Drama",,"September 28, 2008",79
"Private Practice","ABC",": Season 2",44,80,7.6,"Drama",,"October 1, 2008",26
"Pushing Daisies","ABC",": Season 2",,80,8.8,"Drama","Fantasy","October 1, 2008",98
"Dirty Sexy Money","ABC",": Season 2",,80,8.2,"Drama",,"October 1, 2008",18
"Friday Night Lights","NBC,The 101,DirecTV",": Season 3",,91,9,"Sports","Drama",,110
"Sanctuary","Syfy",": Season 1",56,63,6.5,"Drama","Action & Adventure","October 3, 2008",59
"Kings of South Beach","A&E",": Season 1",,,6.3,"Drama","Suspense","March 12, 2007",11
"Desperate Housewives","ABC",": Season 3",,90,8.1,"Drama",,"September 24, 2006",61
"Elizabeth I","HBO,Channel 4",": Season 1",,91,8.1,"Drama",,,38
"Jane Eyre","BBC-1,BBC",": Season 1",,90,8.6,"Drama",,,45
"10.5: Apocalypse","NBC",": Season 1",,,,"Drama","Action & Adventure","May 21, 2006",66
"Windfall","NBC",": Season 1",44,75,8.1,"Comedy","Drama","June 8, 2006",75
"The Hills","MTV,MTV - Music Television",": Season 1",52,80,7.3,"Drama","Reality",,51
"Deadwood","HBO",": Season 3",,83,9.2,"Drama","Action & Adventure","June 11, 2006",232
"Entourage","HBO",": Season 3",,91,8.6,"Comedy","Drama","June 11, 2006",119
"How to Get the Guy","ABC",": Season 1",,,7.2,"Drama","Reality","June 12, 2006",45
"Saved","TNT",": Season 1",51,70,8.6,"Drama",,"June 12, 2006",138
"Treasure Hunters","NBC",": Season 1",41,70,,"Drama","Reality","June 18, 2006",60
"Broken Trail","AMC",": Season 1",,91,8.5,"Drama","Action & Adventure","June 24, 2006",66
"Brotherhood","SHOWTIME",": Season 1",,91,8,"Drama","Action & Adventure","July 9, 2006",123
"Angela's Eyes","LIFETIME",": Season 1",,75,8.5,"Drama",,"July 16, 2006",81
"Weeds","SHOWTIME",": Season 2",,90,8.1,"Comedy","Drama","August 14, 2006",181
"Vanished","FOX",": Season 1",51,75,,"Drama","Action & Adventure","August 21, 2006",318
"Eureka","Syfy",": Season 1",,90,8.8,"Comedy","Drama","July 18, 2006",157
"Fashion House (2006)","My Network TV,MyNetwork TV,MNT",": Season 1",,,8.2,"Drama","Suspense",,139
"Justice (2006)","FOX",": Season 1",57,88,8.5,"Drama",,"August 30, 2006",126
"Desire","My Network TV,MyNetwork TV,MNT",": Season 1",,75,7.5,"Drama",,,39
"Standoff","FOX",": Season 1",,75,8.2,"Drama","Action & Adventure","September 5, 2006",68
"The Wire","HBO",": Season 4",,88,9.5,"Drama","Suspense","September 10, 2006",813
"Men in Trees","ABC",": Season 1",48,88,8.9,"Comedy","Drama","September 12, 2006",214
"Studio 60 on the Sunset Strip","NBC",": Season 1",,88,8.3,"Drama",,"September 18, 2006",362
"Smith","CBS",": Season 1",59,75,8.8,"Drama",,"September 19, 2006",105
"Jericho","CBS",": Season 1",48,75,8.6,"Drama","Action & Adventure","September 20, 2006",327
"Six Degrees","ABC",": Season 1",54,88,8.8,"Drama","Suspense","September 21, 2006",101
"Shark","CBS",": Season 1",60,80,7.9,"Drama","Suspense","September 21, 2006",83
"Brothers & Sisters","ABC",": Season 1",51,80,7.7,"Drama",,"September 24, 2006",199
"Runaway","The CW",": Season 1",53,88,8.4,"Drama","Suspense","September 25, 2006",52
"Heroes","NBC",": Season 1",,90,8.7,"Drama","Suspense","September 25, 2006",491
"Ugly Betty","ABC",": Season 1",,90,8.3,"Comedy","Drama","September 28, 2006",197
"Friday Night Lights","NBC,The 101,DirecTV",": Season 1",,90,9.1,"Sports","Drama",,343
"The Nine","ABC",": Season 1",,90,7.8,"Drama","Action & Adventure","October 4, 2006",71
"Battlestar Galactica (2003)","Syfy",": Season 3",,91,9.1,"Drama","Action & Adventure","October 6, 2006",385
"The Game","The CW,BET,BET - Black Entertainment Television",": Season 1",,,8.2,"Sports","Drama",,119
"Robin Hood","BBC-1,BBC",": Season 1",,75,7.8,"Drama","Action & Adventure",,102
"Torchwood (UK)","BBC-1,BBC-2,BBC-3,Starz,BBC America,BBC Two",": Season 1",,83,8,"Drama","Action & Adventure",,124
"30 Rock","NBC",": Season 1",,80,8.2,"Comedy","Drama","October 11, 2006",300
"Longford","Channel 4",": Season 1",,90,7.7,"Drama","Movie/Mini-Series","October 26, 2006",23
"3 Lbs.","CBS",": Season 1",40,75,8,"Drama","Health & Lifestyle","November 14, 2006",39
"The State Within","BBC-1,BBC",": Season 1",,90,7.9,"Drama","Action & Adventure",,26
"Day Break","ABC",": Season 1",60,80,7.2,"Drama","Action & Adventure","November 15, 2006",213
"Sleeper Cell","SHOWTIME",": Season 2",,88,,"Drama","Action & Adventure","December 10, 2006",39
"A Perfect Day","TNT",": Season 1",,63,,"Drama","Movie/Mini-Series","December 18, 2006",9
"Rome","HBO",": Season 2",,80,8.9,"Drama",,"January 14, 2007",208
"Dirt","FX",": Season 1",40,70,7.3,"Drama",,"January 2, 2007",140
24,"FOX",": Season 6",,90,8,"Drama","Action & Adventure","January 14, 2007",217
"Five Days","BBC-1,BBC",": Season 1",,91,7.2,"Drama","Action & Adventure",,23
"Skins","E4",": Season 1",,80,8.7,"Drama",,"January 25, 2007",166
"The Dresden Files","Syfy,Sci-Fi",": Season 1",55,83,7.4,"Drama","Action & Adventure",,72
"Life on Mars (UK)","BBC-1,BBC",": Season 2",,88,8.6,"Drama","Science Fiction",,44
"Primeval","BBC America,ITV",": Season 1",,80,6.8,"Drama","Action & Adventure",,55
"The Black Donnellys","NBC,NBC; HDNET",": Season 1",45,80,8.7,"Drama","Action & Adventure",,252
"The Wedding Bells","FOX",": Season 1",,70,7.6,"Comedy","Drama","March 7, 2007",42
"The Riches","FX",": Season 1",,90,6.6,"Drama",,"March 12, 2007",112
"Life Support","HBO",": Season 1",,90,8.3,"Drama","Health & Lifestyle","March 10, 2007",15
"Addiction","HBO",": Season 1",,80,,"Drama","Movie/Mini-Series","March 15, 2007",14
"Raines","NBC",": Season 1",57,88,8.6,"Drama","Suspense","March 15, 2007",91
"October Road","ABC",": Season 1",,,8.6,"Drama",,"March 15, 2007",157
"The Tudors","SHOWTIME",": Season 1",,80,6.9,"Drama","Suspense","April 1, 2007",157
"'Til Death Do Us Part","Court TV,truTV",": Season 1",43,70,7.8,"Drama","Reality",,32
"Drive","FOX",": Season 1",52,75,8.7,"Drama","Action & Adventure","April 15, 2007",327
"Durham County","The Movie Network",": Season 1",,80,7.8,"Drama","Movie/Mini-Series","May 7, 2007",11
"Hidden Palms","The CW",": Season 1",45,88,8.3,"Drama","Suspense","May 30, 2007",51
"Traveler","ABC",": Season 1",53,75,8.7,"Drama","Suspense","May 10, 2007",139
"Army Wives","LIFETIME",": Season 1",,88,7.6,"Drama",,"June 3, 2007",130
"John from Cincinnati","HBO",": Season 1",50,70,7.4,"Drama",,"June 10, 2007",278
"Big Love","HBO",": Season 2",,90,6.9,"Drama",,"June 11, 2007",80
"Meadowlands","SHOWTIME",": Season 1",,91,8.5,"Comedy","Drama","June 17, 2007",28
"Burn Notice","USA",": Season 1",,83,8.1,"Drama","Action & Adventure","June 28, 2007",256
"Heartland","TNT",": Season 1",42,70,6.4,"Drama",,"June 18, 2007",33
"The Bronx Is Burning","ESPN",": Season 1",,80,7.6,"Sports","Drama","July 8, 2007",29
"Side Order of Life","LIFETIME",": Season 1",,80,8.3,"Drama",,"July 15, 2007",35
"Mad Men","AMC",": Season 1",,90,8.6,"Drama",,"July 19, 2007",669
"Saving Grace","TNT",": Season 1",,83,,"Drama","Fantasy","July 23, 2007",94
"Damages","FX,The 101,DirecTV",": Season 1",,90,8.5,"Drama","Suspense",,182
"The Company","TNT",": Season 1",,88,7.1,"Drama","Action & Adventure","August 5, 2007",40
"Mind Control with Derren Brown","Syfy",": Season 1",,80,7.8,"Drama","Reality","July 26, 2007",24
"Californication","SHOWTIME",": Season 1",,88,8.5,"Comedy","Drama","August 13, 2007",359
"Flash Gordon","Syfy",": Season 1",,63,,"Drama","Action & Adventure","August 10, 2007",70
"As You Like It","HBO",": Season 1",,88,,"Drama","Movie/Mini-Series","August 21, 2007",17
"Weeds","SHOWTIME",": Season 3",,90,8,"Comedy","Drama","August 13, 2007",81
"Deadwood","HBO",": Season 2",,90,9.1,"Drama","Action & Adventure","March 6, 2005",101
"Human Trafficking","LIFETIME",": Season 1",54,88,8.7,"Drama","Suspense","October 24, 2005",113
"Joan of Arcadia","CBS",": Season 1",,90,,"Drama",,"September 26, 2003",37
"Cold Case","CBS",": Season 1",,90,7.2,"Drama","Suspense","September 28, 2003",40
24,"FOX",": Season 3",,90,8.7,"Drama","Action & Adventure","October 28, 2003",131
"The L Word","SHOWTIME",": Season 1",,90,6.5,"Drama",,"January 18, 2004",40
"Deadwood","HBO",": Season 1",,90,9.2,"Drama","Action & Adventure","March 21, 2004",188
"Hustle","BBC-1,BBC,AMC,BBC One",": Season 1",,80,8.6,"Comedy","Drama",,60
"Nip/Tuck","FX",": Season 2",,90,8,"Drama",,"June 22, 2004",34
"Entourage","HBO",": Season 1",,91,8.4,"Comedy","Drama","July 18, 2004",104
"Stargate Atlantis","Syfy,SCIFI",": Season 1",53,75,7,"Drama","Action & Adventure",,108
"Rescue Me","FX",": Season 1",,90,8.6,"Drama","Action & Adventure","July 21, 2004",55
"The Wire","HBO",": Season 3",,88,9.4,"Drama","Suspense","September 19, 2004",395
"Lost","ABC",": Season 1",,90,9.2,"Drama","Action & Adventure","September 22, 2004",878
"CSI: NY","CBS",": Season 1",,80,,"Drama","Suspense","September 22, 2004",42
"Veronica Mars","The CW,UPN,HULU",": Season 1",,91,8.6,"Drama",,,102
