Title,Network,Season,Meta Score,# of critics,User score,Genre,Genre 2,Permise Date
Now Apocalypse,Starz,: Season 1,,80,,Comedy,,"March 10, 2019"
Turn Up Charlie,Netflix,: Season 1,48,75,7,Comedy,,"March 15, 2019"
Shrill,HULU,: Season 1,,91,6.1,Comedy,,"March 15, 2019"
What We Do in the Shadows (2019),FX,: Season 1,,91,8.3,Comedy,Fantasy,"March 27, 2019"
Barry,HBO,: Season 2,,88,9,Comedy,,"March 31, 2019"
Veep,HBO,: Season 7,,90,7.7,Comedy,,"March 31, 2019"
Special,Netflix,: Season 1,,80,6.4,Comedy,,"April 12, 2019"
RAMY,HULU,: Season 1,,91,6.9,Comedy,,"April 19, 2019"
Baskets,FX,: Season 4,,92,,Comedy,,"June 13, 2019"
Los Espookys,HBO,: Season 1,,91,6.7,Comedy,,"June 14, 2019"
Aziz Ansari: Right Now,Netflix,: Season 1,,85,6.1,Comedy,,"July 9, 2019"
"Frankenstein’s Monster’s Monster, Frankenstein",Netflix,: Season 1,,80,,Comedy,,"July 16, 2019"
A Black Lady Sketch Show,HBO,: Season 1,,95,,Comedy,,"August 2, 2019"
GLOW,Netflix,: Season 3,,91,6.7,Comedy,,"August 9, 2019"
The Righteous Gemstones,HBO,: Season 1,,91,6.8,Comedy,,"August 18, 2019"
This Way Up,HULU,: Season 1,,80,,Comedy,,"August 21, 2019"
Unbreakable Kimmy Schmidt,Netflix,: Season 4,,85,7.6,Comedy,,"May 30, 2018"
High Maintenance (2016),HBO,: Season 2,,88,7.4,Comedy,,"January 19, 2018"
One Day at a Time (2017),Netflix,: Season 2,,91,7.6,Comedy,,"January 26, 2018"
Curb Your Enthusiasm,HBO,: Season 9,,91,8.2,Comedy,,"October 1, 2017"
White Famous,SHOWTIME,: Season 1,54,80,,Comedy,,"October 15, 2017"
Too Funny To Fail,HULU,: Season 1,,83,7.8,Comedy,Movie/Mini-Series,"October 21, 2017"
SMILF,SHOWTIME,: Season 1,,83,6.8,Comedy,,"November 5, 2017"
Lady Dynamite,Netflix,: Season 2,,91,6.5,Comedy,,"November 10, 2017"
Jean-Claude Van Johnson,"Amazon Prime,Prime Video",: Season 1,60,80,7.2,Comedy,,
There's... Johnny!,HULU,: Season 1,60,83,,Comedy,,"November 16, 2017"
My Next Guest Needs No Introduction With David Letterman,Netflix,: Season 1,,83,,Comedy,Talk & Interview,"January 12, 2018"
2 Dope Queens,HBO,: Season 1,,91,,Comedy,Talk & Interview,"February 2, 2018"
Chris Rock: Tamborine,Netflix,: Season 1,,83,,Comedy,,"February 14, 2018"
Mozart in the Jungle,"Amazon Instant Video,Amazon Prime,AMAZON",: Season 4,,83,7.6,Comedy,Music,
Atlanta,FX,: Season 2,,75,8.1,Comedy,,"March 1, 2018"
Love (2016),Netflix,: Season 3,,83,7,Comedy,,"March 9, 2018"
On My Block,Netflix,: Season 1,,83,7.3,Comedy,,"March 16, 2018"
Silicon Valley,HBO,: Season 5,,80,6.5,Comedy,,"March 25, 2018"
Barry,HBO,: Season 1,,91,7.7,Comedy,,"March 25, 2018"
The Zen Diaries of Garry Shandling,HBO,: Season 1,,90,6.9,Comedy,Movie/Mini-Series,"March 26, 2018"
GLOW,Netflix,: Season 2,,90,8,Comedy,,"June 29, 2018"
Who Is America?,SHOWTIME,: Season 1,59,80,7.2,Comedy,,"July 15, 2018"
Insecure,HBO,: Season 3,,90,6.5,Comedy,,"August 12, 2018"
Norm MacDonald Has a Show,Netflix,: Season 1,43,80,8.6,Comedy,Talk & Interview,"September 14, 2018"
American Vandal,Netflix,: Season 2,,91,7.9,Comedy,,"September 14, 2018"
Maniac (2018),Netflix,: Season 1,,95,7.3,Comedy,,"September 21, 2018"
Dave Chappelle: Deep in the Heart of Texas,Netflix,: Season 1,,83,8.3,Comedy,,"March 21, 2017"
Insecure,HBO,: Season 2,,91,6.8,Comedy,,"July 23, 2017"
Friends From College,Netflix,: Season 1,44,80,,Comedy,,"July 14, 2017"
Mozart in the Jungle,"Amazon Instant Video,Amazon Prime,AMAZON",: Season 3,,80,7.7,Comedy,Music,
One Day at a Time (2017),Netflix,: Season 1,,90,7.6,Comedy,,"January 6, 2017"
Baskets,FX,: Season 2,,90,7.8,Comedy,,"January 19, 2017"
Santa Clarita Diet,Netflix,: Season 1,,90,7.5,Comedy,,"February 3, 2017"
Crashing,HBO,: Season 1,,83,6.9,Comedy,,"February 19, 2017"
Love (2016),Netflix,: Season 2,,90,7.7,Comedy,,"March 10, 2017"
Amy Schumer: The Leather Special,Netflix,: Season 1,,83,,Comedy,,"March 7, 2017"
Wet Hot American Summer: Ten Years Later,Netflix,: Season 1,,91,6.1,Comedy,,"August 4, 2017"
Difficult People,HULU,: Season 3,,80,,Comedy,,"August 8, 2017"
Survivor's Remorse,Starz,: Season 4,,80,,Comedy,Sports,"August 20, 2017"
Disjointed,Netflix,: Season 1,43,70,7.4,Comedy,,"August 25, 2017"
Better Things,FX,: Season 2,,90,7.3,Comedy,,"September 14, 2017"
American Vandal,Netflix,: Season 1,,91,8,Comedy,,"September 15, 2017"
Jerry Before Seinfeld,Netflix,: Season 1,,80,6.9,Comedy,,"September 19, 2017"
Dave Chappelle: The Age of Spin,Netflix,: Season 1,,91,8.4,Comedy,,"March 21, 2017"
Louis C.K.: 2017,Netflix,: Season 1,,91,6.7,Comedy,,"April 4, 2017"
Girlboss,Netflix,: Season 1,53,75,,Comedy,,"April 21, 2017"
Veep,HBO,: Season 6,,91,7.9,Comedy,,"April 16, 2017"
Silicon Valley,HBO,: Season 4,,91,8.3,Comedy,,"April 23, 2017"
Master of None,Netflix,: Season 2,,90,8.2,Comedy,,"May 12, 2017"
Unbreakable Kimmy Schmidt,Netflix,: Season 3,,91,7,Comedy,,"May 19, 2017"
Casual,HULU,: Season 3,,91,7.6,Comedy,,"May 23, 2017"
GLOW,Netflix,: Season 1,,91,7.9,Comedy,,"June 23, 2017"
Tour de Pharmacy,HBO,: Season 1,,88,7.3,Comedy,Sports,"July 8, 2017"
Dice (2016),SHOWTIME,: Season 1,56,80,,Comedy,,"April 10, 2016"
Baskets,FX,: Season 1,,83,7.7,Comedy,,"January 21, 2016"
Togetherness,HBO,: Season 2,,91,8,Comedy,,"February 21, 2016"
Love (2016),Netflix,: Season 1,,91,7.6,Comedy,,"February 19, 2016"
Fuller House,Netflix,: Season 1,,83,6.5,Comedy,,"February 27, 2016"
Flaked,Netflix,: Season 1,43,75,,Comedy,,"March 11, 2016"
The Ranch,Netflix,: Season 1,56,75,7.6,Comedy,,"April 1, 2016"
Unbreakable Kimmy Schmidt,Netflix,: Season 2,,91,7.6,Comedy,,"April 15, 2016"
Veep,HBO,: Season 5,,91,8.5,Comedy,,"April 24, 2016"
Silicon Valley,HBO,: Season 3,,90,8.9,Comedy,,"April 24, 2016"
Grace and Frankie,Netflix,: Season 2,,83,7.8,Comedy,,"May 6, 2016"
Chelsea,Netflix,: Season 1,50,75,,Comedy,Talk & Interview,"May 11, 2016"
Lady Dynamite,Netflix,: Season 1,,91,6.6,Comedy,,"May 20, 2016"
Casual,HULU,: Season 2,,91,7.2,Comedy,,"June 7, 2016"
Difficult People,HULU,: Season 2,,91,,Comedy,,"July 12, 2016"
Any Given Wednesday with Bill Simmons,HBO,: Season 1,51,70,7.1,Comedy,Sports,"June 22, 2016"
Vice Principals,HBO,: Season 1,56,91,7.9,Comedy,,"July 17, 2016"
Survivor's Remorse,Starz,: Season 3,,91,,Comedy,Sports,"July 24, 2016"
Atlanta,FX,: Season 1,,90,8.7,Comedy,,"September 6, 2016"
Better Things,FX,: Season 1,,91,7.8,Comedy,,"September 8, 2016"
Fleabag,"Amazon Prime,Prime Video,Amazon Prime Video",: Season 1,,91,8.1,Comedy,,
High Maintenance (2016),HBO,: Season 1,,90,6.1,Comedy,,"September 16, 2016"
Crisis in Six Scenes,"Amazon Prime,Prime Video",: Season 1,44,80,6.2,Comedy,,
Insecure,HBO,: Season 1,,91,7.3,Comedy,,"October 9, 2016"
Haters Back Off,Netflix,: Season 1,54,80,6.3,Comedy,,"October 14, 2016"
7 Days in Hell,,: Season 1,,83,7.5,Comedy,Sports,
Unbreakable Kimmy Schmidt,Netflix,: Season 1,,91,8,Comedy,,"March 6, 2015"
Louie,FX,: Season 5,,90,8.5,Comedy,,"April 9, 2015"
Silicon Valley,HBO,: Season 2,,80,8.7,Comedy,,"April 12, 2015"
The Comedians,FX,: Season 1,57,83,6.2,Comedy,,"April 9, 2015"
Grace and Frankie,Netflix,: Season 1,58,83,8,Comedy,,"May 8, 2015"
Happyish,SHOWTIME,: Season 1,49,83,7.2,Comedy,,"April 26, 2015"
Casual,HULU,: Season 1,,80,7.7,Comedy,,"October 7, 2015"
Red Oaks,Amazon Instant Video,: Season 1,,83,7.4,Comedy,,"October 9, 2015"
Amy Schumer: Live at the Apollo,HBO,: Season 1,,80,,Comedy,,"October 17, 2015"
Master of None,Netflix,: Season 1,,90,7.7,Comedy,,"November 6, 2015"
Getting On (2013),HBO,: Season 3,,91,,Comedy,Health & Lifestyle,"November 8, 2015"
W/ Bob & David,Netflix,: Season 1,,91,8.1,Comedy,,"November 13, 2015"
Real Rob,Netflix,: Season 1,,,6.2,Comedy,,"December 1, 2015"
Mozart in the Jungle,"Amazon Instant Video,Amazon Prime,AMAZON",: Season 2,,83,7.9,Comedy,Music,
Wet Hot American Summer: First Day of Camp,Netflix,: Season 1,,91,6.8,Comedy,,"July 31, 2015"
Difficult People,HULU,: Season 1,,91,6.1,Comedy,,"August 5, 2015"
Survivor's Remorse,Starz,: Season 2,,83,6.2,Comedy,Sports,"August 22, 2015"
Blunt Talk,Starz,: Season 1,56,91,6.1,Comedy,,"August 22, 2015"
Ferrell Takes the Field,HBO,: Season 1,,91,7.1,Comedy,,"September 12, 2015"
Saint George,FX,: Season 1,,,,Comedy,,"March 6, 2014"
Doll & Em,HBO,: Season 1,,88,,Comedy,,"March 19, 2014"
Silicon Valley,HBO,: Season 1,,91,8.6,Comedy,,"April 6, 2014"
Veep,HBO,: Season 3,,91,8.2,Comedy,,"April 6, 2014"
Louie,FX,: Season 4,,83,8.7,Comedy,,"May 5, 2014"
Married,FX,: Season 1,52,80,,Comedy,,"July 17, 2014"
The Hotwives of Orlando,HULU,: Season 1,,91,,Comedy,,"July 15, 2014"
Partners (2014),FX,: Season 1,44,67,,Comedy,,"August 4, 2014"
Survivor's Remorse,Starz,: Season 1,,91,7.6,Comedy,Sports,"October 4, 2014"
Getting On (2013),HBO,: Season 2,,90,7.9,Comedy,Health & Lifestyle,"November 9, 2014"
Mozart in the Jungle,"Amazon Instant Video,Amazon Prime,AMAZON",: Season 1,,91,8,Comedy,Music,
The Comeback,HBO,: Season 2,,91,8.1,Comedy,,"November 9, 2014"
Episodes (US),SHOWTIME,: Season 4,,83,8.3,Comedy,,"January 11, 2015"
Togetherness,HBO,: Season 1,,91,7.5,Comedy,,"January 11, 2015"
Veep,HBO,: Season 1,,90,7.8,Comedy,,"April 22, 2013"
Mel Brooks Strikes Back!,HBO,: Season 1,,83,,Comedy,,"December 10, 2012"
Louis C.K.: Oh My God,HBO,: Season 1,,91,8.2,Comedy,,"April 13, 2013"
Veep,HBO,: Season 2,,88,8.2,Comedy,,"April 14, 2013"
Betas,Amazon Instant Video,: Season 1,,80,7.3,Comedy,,"April 19, 2013"
Hello Ladies,HBO,: Season 1,58,80,7.4,Comedy,,"September 29, 2013"
Whoopi Goldberg Presents Moms Mabley,HBO,: Season 1,,83,7,Comedy,Movie/Mini-Series,"November 18, 2013"
Sarah Silverman: We Are Miracles,HBO,: Season 1,,80,,Comedy,Movie/Mini-Series,"November 23, 2013"
Getting On (2013),HBO,: Season 1,,90,7.7,Comedy,Health & Lifestyle,"November 24, 2013"
The Big C,SHOWTIME,: Season 4,,80,7.3,Comedy,,"April 29, 2013"
Family Tree,HBO,: Season 1,,83,7.3,Comedy,,"May 12, 2013"
Richard Pryor: Omit the Logic,SHOWTIME,: Season 1,,91,,Comedy,News/Documentary,"May 31, 2013"
Clear History,HBO,: Season 1,,88,6.7,Comedy,Movie/Mini-Series,"August 10, 2013"
United States of Tara,SHOWTIME,: Season 3,,91,7.6,Comedy,,"March 28, 2011"
Louie,FX,: Season 2,,91,8.6,Comedy,,"June 23, 2011"
The Big C,SHOWTIME,: Season 2,,91,,Comedy,,"June 27, 2011"
Curb Your Enthusiasm,HBO,: Season 8,,80,8.4,Comedy,,"July 10, 2011"
Web Therapy,SHOWTIME,: Season 1,58,70,6.8,Comedy,,"July 19, 2011"
House of Lies,SHOWTIME,: Season 1,,80,,Comedy,,"January 8, 2012"
Comic Book Men,AMC,: Season 1,57,83,7.4,Comedy,Reality,"February 12, 2012"
The Big C,SHOWTIME,: Season 3,,83,6.3,Comedy,,"April 8, 2012"
Veep,HBO,: Season 4,,91,8.3,Comedy,,"April 29, 2012"
Episodes (US),SHOWTIME,: Season 2,,91,8.3,Comedy,,"May 11, 2012"
Brand X With Russell Brand,FX,: Season 1,,70,,Comedy,,"June 28, 2012"
Anger Management,FX,: Season 1,44,80,,Comedy,,"June 28, 2012"
Louie,FX,: Season 3,,90,8.8,Comedy,,"June 28, 2012"
Web Therapy,SHOWTIME,: Season 2,,91,7.2,Comedy,,"July 2, 2012"
Curb Your Enthusiasm,HBO,: Season 7,,90,8.5,Comedy,,"September 20, 2009"
La La Land,SHOWTIME,: Season 1,59,80,8.3,Comedy,Documentary,"January 25, 2010"
United States of Tara,SHOWTIME,: Season 2,,83,7.3,Comedy,,"March 22, 2010"
Party Down,Starz,: Season 2,,88,8.6,Comedy,,"April 23, 2010"
Hung,HBO,: Season 2,,80,7.3,Comedy,,"June 27, 2010"
Louie,FX,: Season 1,,91,8.5,Comedy,,"June 29, 2010"
The Big C,SHOWTIME,: Season 1,,80,6.8,Comedy,,"August 16, 2010"
Tracy Morgan: Black and Blue,HBO,: Season 1,55,,,Comedy,,"November 13, 2010"
Wishful Drinking,HBO,: Season 1,,83,6.2,Comedy,News/Documentary,"December 12, 2010"
Episodes (US),SHOWTIME,: Season 1,,90,7.6,Comedy,,"January 9, 2011"
Tracey Ullman's State of the Union,SHOWTIME,: Season 1,,91,,Comedy,,"March 30, 2008"
Flight of the Conchords,HBO,: Season 1,,91,9.1,Comedy,Music,"June 17, 2007"
Curb Your Enthusiasm,HBO,: Season 6,,91,8.8,Comedy,,"September 9, 2007"
Little Britain USA,HBO,: Season 1,60,80,6.5,Comedy,,"September 28, 2008"
Testees,FX,: Season 1,,70,7.6,Comedy,,"October 9, 2008"
United States of Tara,SHOWTIME,: Season 1,,80,7.9,Comedy,,"January 18, 2009"
Flight of the Conchords,HBO,: Season 2,,88,7.3,Comedy,Music,"January 18, 2009"
Party Down,Starz,: Season 1,,88,8.6,Comedy,,"March 20, 2009"
Hung,HBO,: Season 1,,80,7.3,Comedy,,"June 28, 2009"
Curb Your Enthusiasm,HBO,: Season 5,,90,8.9,Comedy,,"September 25, 2005"
The Comeback,HBO,: Season 1,58,88,7.7,Comedy,,"June 5, 2005"
Barbershop,SHOWTIME,: Season 1,,90,,Comedy,,"August 14, 2005"
Dane Cook's Tourgasm,HBO,: Season 1,,,,Comedy,,"June 11, 2006"
Lucky Louie,HBO,: Season 1,47,75,7.6,Comedy,,"June 11, 2006"
The Larry Sanders Show,HBO,: Season 2,,90,7.1,Comedy,Talk & Interview,"June 2, 1993"
The Larry Sanders Show,HBO,: Season 3,,90,7.3,Comedy,Talk & Interview,"June 22, 1994"
The Larry Sanders Show,HBO,: Season 4,,90,,Comedy,Talk & Interview,"July 19, 1995"
Arli$$,HBO,: Season 1,,90,,Comedy,,"August 10, 1996"
The Larry Sanders Show,HBO,: Season 5,,80,,Comedy,Talk & Interview,"November 13, 1996"
Mr. Show with Bob and David,HBO,: Season 3,,90,,Comedy,,"September 12, 1997"
The Larry Sanders Show,HBO,: Season 6,,90,,Comedy,Talk & Interview,"March 15, 1998"
Son of the Beach,FX,: Season 1,,90,,Comedy,,"March 14, 2000"
Curb Your Enthusiasm,HBO,: Season 1,,91,8.5,Comedy,,"October 15, 2000"
Curb Your Enthusiasm,HBO,: Season 4,,90,8.8,Comedy,,"January 4, 2004"
Curb Your Enthusiasm,HBO,: Season 3,,90,8.9,Comedy,,"September 15, 2002"
The Circus: Inside the Greatest Political Show on Earth,SHOWTIME,: Season 5,,,,News/Documentary,Documentary,"January 26, 2020"
Breslin and Hamill: Deadline Artists,HBO,: Season 1,,88,,Movie/Mini-Series,Documentary,"January 28, 2019"
The Trade,SHOWTIME,: Season 1,,91,6.7,News/Documentary,Documentary,"February 2, 2018"
Wild Wild Country,Netflix,: Season 1,,90,7.6,Documentary,,"March 16, 2018"
Flint Town,Netflix,: Season 1,,91,,News/Documentary,Documentary,"March 2, 2018"
Elvis Presley: The Searcher,HBO,: Season 1,,91,7.2,Movie/Mini-Series,News/Documentary,"April 14, 2018"
Andre the Giant,HBO,: Season 1,,88,7.2,Movie/Mini-Series,News/Documentary,"April 10, 2018"
Being Serena,HBO,: Season 1,,80,,Sports,Movie/Mini-Series,"May 2, 2018"
Bobby Kennedy for President,Netflix,: Season 1,,83,,Movie/Mini-Series,News/Documentary,"April 27, 2018"
The Fourth Estate,SHOWTIME,: Season 1,,80,,News/Documentary,Documentary,"May 27, 2018"
Evil Genius,Netflix,: Season 1,,80,7.6,Movie/Mini-Series,News/Documentary,"May 11, 2018"
The Staircase [2018 Version],Netflix,: Season 1,,91,7.6,Movie/Mini-Series,News/Documentary,"June 8, 2018"
John McCain: For Whom the Bell Tolls,HBO,: Season 1,,91,,Movie/Mini-Series,News/Documentary,"May 28, 2018"
Believer,HBO,: Season 1,,80,,Movie/Mini-Series,Documentary,"June 25, 2018"
Robin Williams: Come Inside My Mind,HBO,: Season 1,,91,,Movie/Mini-Series,Documentary,"July 16, 2018"
Making a Murderer,Netflix,: Season 2,,83,9.1,Documentary,,"October 19, 2018"
Warriors of Liberty City,Starz,: Season 1,,90,,Sports,Documentary,"September 16, 2018"
The Truth About Killer Robots,HBO,: Season 1,,70,,Movie/Mini-Series,Documentary,"November 26, 2018"
The Innocent Man,Netflix,: Season 1,56,80,,Reality,Documentary,"December 14, 2018"
Fyre Fraud,HULU,: Season 1,,88,,Movie/Mini-Series,Documentary,"January 14, 2019"
Conversations With a Killer: The Ted Bundy Tapes,Netflix,: Season 1,53,91,6.3,Movie/Mini-Series,News/Documentary,"January 24, 2019"
Song of Parkland,HBO,: Season 1,,80,,Movie/Mini-Series,Documentary,"February 7, 2019"
Leaving Neverland,HBO,: Season 1,,90,,Movie/Mini-Series,Documentary,"March 3, 2019"
The Case Against Adnan Syed,HBO,: Season 1,,80,,Movie/Mini-Series,Documentary,"March 10, 2019"
Homecoming: A Film by Beyoncé,Netflix,: Season 1,,91,7.9,Movie/Mini-Series,Documentary,"April 17, 2019"
At the Heart of Gold: Inside the USA Gymnastics Scandal,HBO,: Season 1,,90,,Sports,Movie/Mini-Series,"May 3, 2019"
Wu-Tang Clan: Of Mics and Men,SHOWTIME,: Season 1,,90,,Movie/Mini-Series,Documentary,"May 10, 2019"
What's My Name: Muhammad Ali,HBO,: Season 1,,91,,Sports,Movie/Mini-Series,"May 14, 2019"
Running with Beto,HBO,: Season 1,,80,,Movie/Mini-Series,News/Documentary,"May 28, 2019"
"I Love You, Now Die: The Commonwealth v. Michelle Carter",HBO,: Season 1,,85,,Movie/Mini-Series,News/Documentary,"July 9, 2019"
Shangri-La (2019),SHOWTIME,: Season 1,,83,,Movie/Mini-Series,Documentary,"July 12, 2019"
Who Killed Garrett Phillips?,HBO,: Season 1,,90,,Movie/Mini-Series,Documentary,"July 23, 2019"
The Family (2019),Netflix,: Season 1,,83,,Movie/Mini-Series,Documentary,"August 9, 2019"
The Devil Next Door,Netflix,: Season 1,,90,,News/Documentary,Documentary,"November 4, 2019"
The Confession Killer,Netflix,: Season 1,,80,7.2,Movie/Mini-Series,Documentary,"December 6, 2019"
Dream On,HBO,: Season 1,,90,,Comedy,,"July 8, 1990"
The Larry Sanders Show,HBO,: Season 1,,90,7.2,Comedy,Talk & Interview,"August 15, 1992"
Requiem for the Dead: American Spring 2014,HBO,: Season 1,,80,,Movie/Mini-Series,News/Documentary,"June 22, 2015"
Larry Kramer in Love and Anger,HBO,: Season 1,,80,,Movie/Mini-Series,News/Documentary,"June 29, 2015"
112 Weddings,HBO,: Season 1,,88,,Movie/Mini-Series,News/Documentary,"June 30, 2014"
7 Deadly Sins,SHOWTIME,: Season 1,,83,,Documentary,,"August 7, 2014"
The Chair (2014),Starz,: Season 1,,91,8.5,Reality,News/Documentary,"September 6, 2014"
A Good Job: Stories of the FDNY,HBO,: Season 1,,91,,Documentary,,"September 8, 2014"
The 50 Year Argument,HBO,: Season 1,,83,,Movie/Mini-Series,News/Documentary,"September 29, 2014"
Foo Fighters: Sonic Highways,HBO,: Season 1,,83,8.2,Documentary,Music,"October 17, 2014"
Mr. Dynamite: The Rise of James Brown,HBO,: Season 1,,91,7,Movie/Mini-Series,Documentary,"October 27, 2014"
Lost Songs: The Basement Tapes Continued,SHOWTIME,: Season 1,,80,,Movie/Mini-Series,News/Documentary,"November 21, 2014"
Regarding Susan Sontag,HBO,: Season 1,,80,,Movie/Mini-Series,News/Documentary,"December 8, 2014"
The Jinx: The Life and Deaths of Robert Durst,HBO,: Season 1,,91,8.2,Movie/Mini-Series,News/Documentary,"February 8, 2015"
"It's Me, Hilary: The Man Who Drew Eloise",HBO,: Season 1,,83,,News/Documentary,Documentary,"March 23, 2015"
Going Clear: Scientology and the Prison of Belief,HBO,: Season 1,,90,7.8,Movie/Mini-Series,Documentary,"March 29, 2015"
Sinatra: All or Nothing at All,HBO,: Season 1,,88,6.3,Movie/Mini-Series,News/Documentary,"April 5, 2015"
Kurt Cobain: Montage of Heck,HBO,: Season 1,,91,7.5,Movie/Mini-Series,News/Documentary,"May 4, 2015"
Tig,Netflix,: Season 1,,83,,News/Documentary,Documentary,"July 17, 2015"
Compared to What: The Improbable Journey of Barney Frank,SHOWTIME,: Season 1,55,70,,Movie/Mini-Series,News/Documentary,"October 23, 2015"
Project Greenlight,HBO,: Season 4,,91,7.2,Reality,Game Show,"September 13, 2015"
The Spymasters - CIA in the Crosshairs,SHOWTIME,: Season 1,,90,7.6,Movie/Mini-Series,News/Documentary,"November 28, 2015"
The Diplomat,HBO,: Season 1,,80,,News/Documentary,Documentary,"November 2, 2015"
Making a Murderer,Netflix,: Season 1,,90,9,Documentary,,"December 18, 2015"
The Circus: Inside the Greatest Political Show on Earth,SHOWTIME,: Season 1,,90,8.3,News/Documentary,Documentary,"January 17, 2016"
Dark Net,SHOWTIME,: Season 1,,80,,Reality,Documentary,"January 21, 2016"
Chelsea Does,Netflix,: Season 1,,90,,News/Documentary,Documentary,"January 23, 2016"
Michael Jackson's Journey From Motown to Off the Wall,SHOWTIME,: Season 1,,91,9,Movie/Mini-Series,Documentary,"February 5, 2016"
Homegrown: The Counter-Terror Dilemma,HBO,: Season 1,,80,,Movie/Mini-Series,News/Documentary,"February 8, 2016"
Becoming Mike Nichols,HBO,: Season 1,,80,,Talk & Interview,Documentary,"February 22, 2016"
Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,HBO,: Season 1,,83,,Movie/Mini-Series,Talk & Interview,"April 9, 2016"
Last Chance U,Netflix,: Season 1,,83,8.1,News/Documentary,Documentary,"July 29, 2016"
Marathon: The Patriot's Day Bombing,HBO,: Season 1,,91,6.1,Movie/Mini-Series,News/Documentary,"November 21, 2016"
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,HBO,: Season 1,,83,6.3,Movie/Mini-Series,Documentary,"January 7, 2017"
Beware The Slenderman,HBO,: Season 1,,83,,Movie/Mini-Series,Documentary,"January 23, 2017"
American Playboy: The Hugh Hefner Story,Amazon Prime,: Season 1,43,,,News/Documentary,Documentary,"April 7, 2017"
Mommy Dead and Dearest,HBO,: Season 1,,75,7.8,Movie/Mini-Series,Documentary,"May 15, 2017"
"If You're Not in the Obit, Eat Breakfast",HBO,: Season 1,,80,,News/Documentary,Documentary,"June 5, 2017"
The Keepers,Netflix,: Season 1,,91,7.7,News/Documentary,Suspense,"May 19, 2017"
Becoming Cary Grant,SHOWTIME,: Season 1,,80,,Movie/Mini-Series,Documentary,"June 9, 2017"
The Putin Interviews,SHOWTIME,: Season 1,54,83,6.3,News/Documentary,Talk & Interview,"June 12, 2017"
The Defiant Ones (2017),HBO,: Season 1,,91,7.8,Movie/Mini-Series,Documentary,"July 9, 2017"
"Diana, Our Mother: Her Life and Legacy",HBO,: Season 1,,80,,Movie/Mini-Series,Documentary,"July 24, 2017"
Spielberg,HBO,: Season 1,,83,7.2,Movie/Mini-Series,Documentary,"October 7, 2017"
Rolling Stone: Stories From the Edge,HBO,: Season 1,57,75,,Movie/Mini-Series,News/Documentary,"November 6, 2017"
The Newspaperman: The Life and Times of Ben Bradlee,HBO,: Season 1,,91,,Movie/Mini-Series,News/Documentary,"December 4, 2017"
David Bowie: The Last Five Years,HBO,: Season 1,,80,7.6,Movie/Mini-Series,News/Documentary,"January 8, 2018"
Public Speaking,HBO,: Season 1,,80,7.8,Documentary,,"November 22, 2010"
Wartorn: 1861-2010,HBO,: Season 1,,90,,Documentary,,"November 11, 2010"
Gloria: In Her Own Words,HBO,: Season 1,,91,,Documentary,,"August 15, 2011"
George Harrison: Living in the Material World,HBO,: Season 1,,90,8,Documentary,,"October 5, 2011"
The Cheshire Murders,HBO,: Season 1,,90,6.8,Documentary,,"July 22, 2013"
Valentine Road,HBO,: Season 1,,90,,Movie/Mini-Series,Documentary,"October 7, 2013"
Life According to Sam,HBO,: Season 1,,90,8.8,Documentary,,"October 21, 2013"
Seduced and Abandoned,HBO,: Season 1,,91,,Movie/Mini-Series,Documentary,"October 28, 2013"
Time of Death,SHOWTIME,: Season 1,,90,6.7,Documentary,,"November 1, 2013"
Six by Sondheim,HBO,: Season 1,,80,7.3,Movie/Mini-Series,News/Documentary,"December 9, 2013"
Mitt,Netflix,: Season 1,58,80,6.4,Movie/Mini-Series,News/Documentary,"January 24, 2014"
On Freddie Roach,HBO,: Season 1,,91,7.7,Sports,Reality,"January 20, 2012"
The Loving Story,HBO,: Season 1,,80,,Documentary,,"February 14, 2012"
41,HBO,: Season 1,55,75,,Documentary,,"June 14, 2012"
Vito,HBO,: Season 1,,80,,Documentary,,"July 23, 2012"
About Face: Supermodels Then and Now,HBO,: Season 1,,91,,Documentary,,"July 30, 2012"
Crossfire Hurricane,HBO,: Season 1,,90,,Documentary,,"November 15, 2012"
Beyonce: Life Is But a Dream,HBO,: Season 1,57,83,6.9,Movie/Mini-Series,Documentary,"February 16, 2013"
Chilling Adventures of Sabrina,Netflix,: Season 3,,,,Drama,Fantasy,"January 24, 2020"
Gigolos,SHOWTIME,: Season 1,,,,Reality,Game Show,"April 7, 2011"
Immortalized,AMC,: Season 1,,,,Reality,Game Show,"February 14, 2013"
Freakshow,AMC,: Season 1,48,63,,Reality,Game Show,"February 14, 2013"
Project Greenlight,HBO,: Season 1,,90,,Reality,Game Show,"December 2, 2001"
Black.  White.,FX,: Season 1,,80,6.4,Reality,Game Show,"March 8, 2006"
Dracula (2020),Netflix,: Season 1,,,,Drama,Horror,"January 4, 2020"
Locke & Key,Netflix,: Season 1,,,,Drama,Fantasy,"February 7, 2020"
American Horror Story,FX,: Season 7,,83,,Horror,,"September 5, 2017"
American Horror Story,FX,: Season 6,,80,7.1,Horror,,"September 14, 2016"
American Horror Story,FX,: Season 8,,80,7.4,Horror,,"September 12, 2018"
The Weight of the Nation,HBO,: Season 1,,80,,Health & Lifestyle,,"May 14, 2012"
